date,open,high,low,close,volume
2024-01-02,2.64,2.7,2.6,2.65,300000
2024-01-03,2.65,2.71,2.61,2.66,300000
2024-01-04,2.66,2.72,2.62,2.67,300000
2024-01-05,2.67,2.73,2.63,2.68,300000
2024-01-06,2.68,2.74,2.64,2.69,300000
2024-01-07,2.69,2.75,2.65,2.7,300000
2024-01-08,2.7,2.76,2.66,2.71,300000
2024-01-09,2.71,2.77,2.67,2.72,300000
2024-01-10,2.72,2.78,2.68,2.73,300000
2024-01-11,2.73,2.79,2.69,2.74,300000
2024-01-12,2.74,2.8,2.7,2.75,300000
2024-01-13,2.75,2.81,2.71,2.76,300000
2024-01-14,2.76,2.82,2.72,2.77,300000
2024-01-15,2.77,2.83,2.73,2.78,300000
2024-01-16,2.78,2.84,2.74,2.79,300000
2024-01-17,2.79,2.85,2.75,2.8,300000
2024-01-18,2.8,2.86,2.76,2.81,300000
2024-01-19,2.81,2.87,2.77,2.82,300000
2024-01-20,2.82,2.88,2.78,2.83,300000
2024-01-21,2.83,2.89,2.79,2.84,300000
2024-01-22,2.84,2.9,2.8,2.85,300000
2024-01-23,2.85,2.91,2.81,2.86,300000
2024-01-24,2.86,2.92,2.82,2.87,300000
2024-01-25,2.87,2.93,2.83,2.88,300000
2024-01-26,2.88,2.94,2.84,2.89,300000
2024-01-27,2.89,2.95,2.85,2.9,300000
2024-01-28,2.9,2.96,2.86,2.91,300000
2024-01-29,2.91,2.97,2.87,2.92,300000
2024-01-30,2.92,2.98,2.88,2.93,300000
2024-01-31,2.93,2.99,2.89,2.94,300000
2024-02-01,2.94,3.0,2.9,2.95,300000
2024-02-02,2.95,3.01,2.91,2.96,300000
2024-02-03,2.96,3.02,2.92,2.97,300000
2024-02-04,2.97,3.03,2.93,2.98,300000
2024-02-05,2.98,3.04,2.94,2.99,300000
2024-02-06,2.99,3.05,2.95,3.0,300000
2024-02-07,3.0,3.06,2.96,3.01,300000
2024-02-08,3.01,3.07,2.97,3.02,300000
2024-02-09,3.02,3.08,2.98,3.03,300000
2024-02-10,3.03,3.09,2.99,3.04,300000
2024-02-11,3.04,3.1,3.0,3.05,300000
2024-02-12,3.05,3.11,3.01,3.06,300000
2024-02-13,3.06,3.12,3.02,3.07,300000
2024-02-14,3.07,3.13,3.03,3.08,300000
2024-02-15,3.08,3.14,3.04,3.09,300000
2024-02-16,3.09,3.15,3.05,3.1,300000
2024-02-17,3.1,3.16,3.06,3.11,300000
2024-02-18,3.11,3.17,3.07,3.12,300000
2024-02-19,3.12,3.18,3.08,3.13,300000
2024-02-20,3.13,3.19,3.09,3.14,300000
2024-02-21,3.14,3.2,3.1,3.15,300000
2024-02-22,3.15,3.21,3.11,3.16,300000
2024-02-23,3.16,3.22,3.12,3.17,300000
2024-02-24,3.17,3.23,3.13,3.18,300000
2024-02-25,3.18,3.24,3.14,3.19,300000
2024-02-26,3.19,3.25,3.15,3.2,300000
2024-02-27,3.2,3.26,3.16,3.21,300000
2024-02-28,3.21,3.27,3.17,3.22,300000
